,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,Y
ConsecutivoPuente,NombrePuente,Provincia,Canton,Distrito,Encargado,Ruta,Kilometro,Longitud,TipoPuente,AlturaLibreVerticalInferior,Calzada,ClasificacionRuta,H1,H2,H3,H4,H5,H6,H7,LatitudTotalGPS,LongitudTotalGPS,TipoPavimento,NoDeSuperestructuras,NoDeSubestructuras,NoTramos,AnchoTotal,W1,W2,W3,W4,W5,W6,W7,NoSuperestructura,TipoViga,AlturaViga,NoElementosPrincipales,AlineacionPlanta,TramoMaximo,TipoEstructura,Superestructura,LongitudTotal,PrioridadReparacion
2111,Nombre X,2,2,10,7,703,8.859999657,11.60000038,1,4.699999809,1.049999952,3,0,0,0,0,0,0,0.75,10.14698601,-84.44517517,1,1,2,1,1.049999952,0,0,0,0,1.049999952,0,0,1,3,0.670000017,1,1,11.60000038,2,1,11.60000038,22.46
2113,Nombre X,2,2,10,7,703,8.859999657,8.699999809,1,4.699999809,1.049999952,3,0.75,0,0,0,0,0,0,10.14698601,-84.44517517,1,1,2,1,1.049999952,0,0,1.049999952,0,0,0,0,1,3,0.670000017,1,1,8.699999809,2,1,8.699999809,17
752,Nombre X,4,9,1,10,126,4.215000153,9.5,1,6.400000095,0.889999986,2,0.699999988,0,0,0,0,0,0,10.03188705,-84.12605286,1,1,2,1,1.200000048,0.310000002,0,0.889999986,0,0,0,0,1,6,0.600000024,1,1,9.5,3,11,9.5,32.09
754,Nombre X,4,9,1,10,126,4.215000153,9.5,1,6.400000095,0.889999986,2,0,0,0,0,0,0,0.699999988,10.03188705,-84.12605286,1,1,2,1,1.200000048,0,0,0,0,0.889999986,0,0.310000002,1,6,0.600000024,1,1,9.5,3,11,9.5,32.09
869,Nombre X,4,4,1,10,128,2.5,7.400000095,1,2,0.409999996,1,0.75,0,0.150000006,0,0,0,0,10.03720188,-84.15538788,1,1,2,1,1.299999952,0.310000002,0.579999983,0.409999996,0,0,0,0,1,1,0.550000012,1,1,7.400000095,3,1,7.400000095,34.8
1427,Nombre X,7,2,1,20,149,0.589999974,11.30000019,1,2.200000048,0.680000007,2,0,0,0,0,0.090000004,0,1.070000052,10.21595287,-83.78624725,3,1,2,1,1.389999986,0,0,0,0,0.680000007,0.709999979,0,1,2,0.330000013,2,1,11.30000019,1,1,11.30000019,41.52
2167,Nombre X,1,9,1,3,121,6.409999847,5.739999771,1,2.210000038,1.110000014,2,0.560000002,0,0,0,0,0,0,9.933738708,-84.1789856,1,1,2,1,1.430000067,0.319999993,0,1.110000014,0,0,0,0,1,3,0.550000012,1,1,5.739999771,3,3,5.739999771,39.47
2110,Nombre X,2,1,1,7,705,3.960000038,12,1,5.849999905,1.190000057,3,0.949999988,0,0,0,0,0,0,10.11350918,-84.48532867,1,1,2,1,1.49000001,0.300000012,0,1.190000057,0,0,0,0,1,2,0.720000029,1,1,12,1,1,12,27.68
2172,Nombre X,4,5,5,10,116,11.14000034,4.21999979,1,2.299999952,0.930000007,2,0,0,0,0,0,0,0.730000019,10.02672768,-84.07316589,1,1,2,1,1.549999952,0,0,0,0,0.930000007,0,0.620000005,1,3,0.479999989,2,2,4.21999979,3,1,4.21999979,34.81
833,Nombre X,2,7,2,7,135,9.864999771,5,1,2.700000048,0.810000002,2,0,0,0,0,0.07,0,0.720000029,10.04306984,-84.42984009,1,1,2,1,1.700000048,0,0,0,0,0.810000002,0.579999983,0.310000002,1,1,0.349999994,1,1,5,3,3,5,37.72
2159,Nombre X,2,8,1,5,130,16.75300026,7.199999809,1,1.700000048,0.839999974,2,0,0,0,0,0,0.400000006,0.720000029,10.07478333,-84.24023438,1,1,2,1,1.74000001,0,0,0,0,0.839999974,0.449999988,0.449999988,1,1,0.400000006,1,1,7.199999809,3,1,7.199999809,33.24
990,Nombre X,1,6,1,4,209,9.529999733,5.880000114,1,3.25,1.019999981,2,0.720000029,0,0.239999995,0,0,0,0,9.859772682,-84.09416962,1,1,2,1,1.769999981,0.300000012,0.449999988,1.019999981,0,0,0,0,1,2,0.25999999,3,2,5.880000114,1,3,5.880000114,43.19
2077,Nombre X,1,19,11,17,335,16.92300034,2.789999962,1,2.480000019,1.799999952,1,0,0,0,0,0,0,0,9.479888916,-83.79521942,4,1,2,1,1.799999952,0,0,1.799999952,0,0,0,0,1,2,0.300000012,3,2,2.789999962,1,1,2.789999962,52.32
2089,Nombre X,3,2,4,9,224,20.70599937,6.300000191,1,3.599999905,1.399999976,2,0,0,0,0,0,0,1.049999952,9.825055122,-83.8081131,1,1,2,1,1.799999952,0,0,0,0,1.399999976,0,0.400000006,1,1,0.300000012,1,2,6.300000191,3,1,6.300000191,33.7
2173,Nombre X,4,5,5,10,116,11.14000034,4.78000021,1,3.700000048,1.179999948,2,0.730000019,0.300000012,0,0,0,0,0,10.02672768,-84.07316589,1,1,2,1,1.799999952,0.620000005,0,1.179999948,0,0,0,0,1,3,0.479999989,2,2,4.78000021,3,1,4.78000021,34.51
1446,Nombre X,1,17,1,4,226,12.78999996,9.600000381,1,2.470000029,0.649999976,2,0.730000019,0,0.159999996,0,0,0,0,9.660943985,-83.97072601,1,1,2,1,1.830000043,0.660000026,0.519999981,0.649999976,0,0,0,0,1,1,0.649999976,1,1,9.600000381,3,1,9.600000381,41.17
1410,Nombre X,1,1,11,2,209,2.305000067,14.64999962,1,8.199999809,0,2,0.899999976,0,0.230000004,0,0,0,0,9.906661034,-84.06842804,3,1,2,1,1.839999914,0.300000012,1.539999962,0,0,0,0,0,1,3,0.50999999,2,1,14.64999962,3,1,14.64999962,24.84
1587,Nombre X,5,3,5,13,910,1.815000057,30,1,5.699999809,1.5,3,0.879999995,0.25,0,0,0,0,0,10.37872219,-85.67308044,3,3,4,3,1.860000014,0.360000014,0,1.5,0,0,0,0,1,3,0.649999976,2,2,10,2,1,10,21.23
1587,Nombre X,5,3,5,13,910,1.815000057,30,1,5.699999809,1.5,3,0.879999995,0.25,0,0,0,0,0,10.37872219,-85.67308044,3,3,4,3,1.860000014,0.360000014,0,1.5,0,0,0,0,2,3,0.649999976,2,2,10,2,1,10,21.23
1587,Nombre X,5,3,5,13,910,1.815000057,30,1,5.699999809,1.5,3,0.879999995,0.25,0,0,0,0,0,10.37872219,-85.67308044,3,3,4,3,1.860000014,0.360000014,0,1.5,0,0,0,0,3,3,0.649999976,2,2,10,2,1,10,21.23
1588,Nombre X,5,3,5,13,910,1.815000057,30,1,5.699999809,1.5,3,0,0,0,0,0,0.25,0.879999995,10.37872219,-85.67308044,3,3,4,3,1.860000014,0,0,0,0,1.5,0,0.360000014,1,3,0.649999976,2,2,10,2,1,10,21.23
1588,Nombre X,5,3,5,13,910,1.815000057,30,1,5.699999809,1.5,3,0,0,0,0,0,0.25,0.879999995,10.37872219,-85.67308044,3,3,4,3,1.860000014,0,0,0,0,1.5,0,0.360000014,2,3,0.649999976,2,2,10,2,1,10,21.23
1588,Nombre X,5,3,5,13,910,1.815000057,30,1,5.699999809,1.5,3,0,0,0,0,0,0.25,0.879999995,10.37872219,-85.67308044,3,3,4,3,1.860000014,0,0,0,0,1.5,0,0.360000014,3,3,0.649999976,2,2,10,2,1,10,21.23
1597,Nombre X,5,3,4,13,909,0.405000001,23.20000076,1,2.799999952,1.5,3,0.709999979,0.25,0,0,0,0,0,10.34880543,-85.73191833,3,3,4,3,1.860000014,0.360000014,0,1.5,0,0,0,0,1,3,0.400000006,2,1,6.699999809,2,1,6.699999809,22.33
1597,Nombre X,5,3,4,13,909,0.405000001,23.20000076,1,2.799999952,1.5,3,0.709999979,0.25,0,0,0,0,0,10.34880543,-85.73191833,3,3,4,3,1.860000014,0.360000014,0,1.5,0,0,0,0,3,3,0.400000006,2,1,6.699999809,2,1,6.699999809,22.33
1597,Nombre X,5,3,4,13,909,0.405000001,23.20000076,1,2.799999952,1.5,3,0.709999979,0.25,0,0,0,0,0,10.34880543,-85.73191833,3,3,4,3,1.860000014,0.360000014,0,1.5,0,0,0,0,2,3,0.629999995,2,1,9.800000191,2,1,9.800000191,21.3
1598,Nombre X,5,3,4,13,909,0.405000001,23.20000076,1,2.799999952,1.5,3,0,0,0,0,0,0.25,0.709999979,10.34880543,-85.73191833,3,3,4,3,1.860000014,0,0,0,0,1.5,0,0.360000014,1,3,0.400000006,2,1,6.699999809,2,1,6.699999809,22.33
1598,Nombre X,5,3,4,13,909,0.405000001,23.20000076,1,2.799999952,1.5,3,0,0,0,0,0,0.25,0.709999979,10.34880543,-85.73191833,3,3,4,3,1.860000014,0,0,0,0,1.5,0,0.360000014,3,3,0.400000006,2,1,6.699999809,2,1,6.699999809,22.33
1598,Nombre X,5,3,4,13,909,0.405000001,23.20000076,1,2.799999952,1.5,3,0,0,0,0,0,0.25,0.709999979,10.34880543,-85.73191833,3,3,4,3,1.860000014,0,0,0,0,1.5,0,0.360000014,2,3,0.629999995,2,1,9.800000191,2,1,9.800000191,21.3
1003,Nombre X,5,3,4,13,155,18.72500038,29.10000038,1,4.699999809,1.549999952,2,0,0,0,0,0,0.230000004,0.720000029,10.35228348,-85.72915649,3,3,4,3,1.909999967,0,0,0,0,1.549999952,0,0.360000014,1,3,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1003,Nombre X,5,3,4,13,155,18.72500038,29.10000038,1,4.699999809,1.549999952,2,0,0,0,0,0,0.230000004,0.720000029,10.35228348,-85.72915649,3,3,4,3,1.909999967,0,0,0,0,1.549999952,0,0.360000014,2,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1003,Nombre X,5,3,4,13,155,18.72500038,29.10000038,1,4.699999809,1.549999952,2,0,0,0,0,0,0.230000004,0.720000029,10.35228348,-85.72915649,3,3,4,3,1.909999967,0,0,0,0,1.549999952,0,0.360000014,3,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1004,Nombre X,5,3,4,13,155,18.72500038,29.10000038,1,4.699999809,1.549999952,2,0.720000029,0.230000004,0,0,0,0,0,10.35228348,-85.72915649,3,3,4,3,1.909999967,0.360000014,0,1.549999952,0,0,0,0,1,3,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1004,Nombre X,5,3,4,13,155,18.72500038,29.10000038,1,4.699999809,1.549999952,2,0.720000029,0.230000004,0,0,0,0,0,10.35228348,-85.72915649,3,3,4,3,1.909999967,0.360000014,0,1.549999952,0,0,0,0,2,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1004,Nombre X,5,3,4,13,155,18.72500038,29.10000038,1,4.699999809,1.549999952,2,0.720000029,0.230000004,0,0,0,0,0,10.35228348,-85.72915649,3,3,4,3,1.909999967,0.360000014,0,1.549999952,0,0,0,0,3,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1007,Nombre X,5,3,5,13,155,15.44999981,29.10000038,1,2.099999905,1.549999952,2,0,0,0,0,0,0.230000004,0.720000029,10.36010551,-85.70482635,3,3,4,3,1.909999967,0,0,0,0,1.549999952,0,0.360000014,1,3,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1007,Nombre X,5,3,5,13,155,15.44999981,29.10000038,1,2.099999905,1.549999952,2,0,0,0,0,0,0.230000004,0.720000029,10.36010551,-85.70482635,3,3,4,3,1.909999967,0,0,0,0,1.549999952,0,0.360000014,2,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1007,Nombre X,5,3,5,13,155,15.44999981,29.10000038,1,2.099999905,1.549999952,2,0,0,0,0,0,0.230000004,0.720000029,10.36010551,-85.70482635,3,3,4,3,1.909999967,0,0,0,0,1.549999952,0,0.360000014,3,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1008,Nombre X,5,3,5,13,155,15.44999981,29.10000038,1,2.099999905,1.549999952,2,0.720000029,0.230000004,0,0,0,0,0,10.36010551,-85.70482635,3,3,4,3,1.909999967,0.360000014,0,1.549999952,0,0,0,0,1,3,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1008,Nombre X,5,3,5,13,155,15.44999981,29.10000038,1,2.099999905,1.549999952,2,0.720000029,0.230000004,0,0,0,0,0,10.36010551,-85.70482635,3,3,4,3,1.909999967,0.360000014,0,1.549999952,0,0,0,0,2,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1008,Nombre X,5,3,5,13,155,15.44999981,29.10000038,1,2.099999905,1.549999952,2,0.720000029,0.230000004,0,0,0,0,0,10.36010551,-85.70482635,3,3,4,3,1.909999967,0.360000014,0,1.549999952,0,0,0,0,3,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1012,Nombre X,5,5,4,13,155,9.135000229,25.20000076,1,5,1.549999952,2,0,0,0,0,0,0.230000004,0.670000017,10.36313629,-85.64842987,3,3,4,3,1.929999948,0,0,0,0,1.549999952,0,0.379999995,1,3,0.649999976,2,1,7.599999905,2,1,7.599999905,33.04
1012,Nombre X,5,5,4,13,155,9.135000229,25.20000076,1,5,1.549999952,2,0,0,0,0,0,0.230000004,0.670000017,10.36313629,-85.64842987,3,3,4,3,1.929999948,0,0,0,0,1.549999952,0,0.379999995,2,3,0.649999976,2,1,10,2,1,10,33.04
1012,Nombre X,5,5,4,13,155,9.135000229,25.20000076,1,5,1.549999952,2,0,0,0,0,0,0.230000004,0.670000017,10.36313629,-85.64842987,3,3,4,3,1.929999948,0,0,0,0,1.549999952,0,0.379999995,3,3,0.649999976,2,1,7.599999905,2,1,7.599999905,31.85
1013,Nombre X,5,5,4,13,155,9.135000229,25.20000076,1,5,1.549999952,2,0.670000017,0.230000004,0,0,0,0,0,10.36313629,-85.64842987,3,3,4,3,1.929999948,0.379999995,0,1.549999952,0,0,0,0,1,3,0.649999976,2,1,7.599999905,2,1,7.599999905,33.04
1013,Nombre X,5,5,4,13,155,9.135000229,25.20000076,1,5,1.549999952,2,0.670000017,0.230000004,0,0,0,0,0,10.36313629,-85.64842987,3,3,4,3,1.929999948,0.379999995,0,1.549999952,0,0,0,0,3,3,0.649999976,2,1,7.599999905,2,1,7.599999905,33.04
1013,Nombre X,5,5,4,13,155,9.135000229,25.20000076,1,5,1.549999952,2,0.670000017,0.230000004,0,0,0,0,0,10.36313629,-85.64842987,3,3,4,3,1.929999948,0.379999995,0,1.549999952,0,0,0,0,2,3,0.649999976,2,1,10,2,1,10,31.85
1015,Nombre X,5,3,5,13,155,13.97500038,30.10000038,1,3,1.549999952,2,0,0,0,0,0,0.230000004,0.699999988,10.36359787,-85.69179535,1,3,4,3,1.929999948,0,0,0,0,1.549999952,0,0.379999995,2,6,0.649999976,2,2,9.800000191,2,1,9.800000191,31.95
